A00	37600
A00-Y125399	37600
A00c	0
A00a	550
A00b	0
A0-T	161300
A0	161300
A-L1035	0
A-L979	0
A-L981	0
A-L1070	0
A-L1289	0
A-V151	0
A-V1280	0
A1	133400
A1a	9900
A-Y8132	9600
A-Y32411	8800
A-Y32399	8800
A-Y37658	1950
A-Y37662	650
A-Y37659	375
A-Y7969	9300
A-V3893	3700
A-Y7944	4100
A-Y429	1200
A-Z11380	800
A-BY1081	250
A-FT32398	250
A1b	130700
A1b1	125400
A-L602	94500
A-Y242651	2200
A-Y25015	24800
A-Y25057	11400
A-P28	11400
A-L963	11400
A-M114	0
A-P262	0
A-M32	83000
A-M28	29000
A-Y151925	8700
A-BY92414	7600
A-Y151949	3800
A-BY126965	125
A-BY109853	3600
A-BY54852	3600
A-Y151934	2100
A-V2566	1800
A-Y235870	150
A-Y20629	53100
A-M51	16200
A-M9782	14800
A-Y65344	13800
A-Y309436	6600
A-Y61213	2800
A-YP4735	44100
A-M13	10800
A-YP4751	10800
A-YP4740	10100
A-BY54507	275
A-PF1069	9700
A-Y322226	500
A-Y26839	5900
A-SK239	5900
A-M171	3400
A-FTB9216	200
A-V1559	4500
A-FGC40016	2100
A-FGC40018	375
A-Y25085	4300
A-FGC56317	4300
A-Y95250	3800
A-BY187182	1350
A-Y76912	3100
A-BY56758	50
A-Y161010	3100
A-Y66998	2000
A-FT10792	1600
A-FT7793	1600
A-FT9563	350
A-FT159470	475
A-FT158486	425
A-Y30506	9300
A-BY16213	5500
A-BY16210	850
A-V3663	9300
A-FGC60376	8500
A-PF714	5400
A-FGC60342	475
A-FGC60369	475
A-FGC38299	7800
A-V7822	7700
A-V6275	5400
A-Y254622	1500
A-FTB51954	1500
A-FT306925	4100
A-Y206476	3700
A-V2667	3700
A-FGC38326	6500
A-PH3663	4900
A-V2818	4100
A-BY80967	3800
A-FTE10903	750
A-BY110640	425
A-FGC38354	5700
A-Y151982	4500
A-V7121	3000
A-FGC38355	5200
A-Y161029	4000
A-Y161028	3100
A-Y23655	9800
A-Y126390	9800
A-Y146713	2700
A-Y146716	150
A-BY36134	4500
A-Y272354	1050
A-Y155188	3000
A-BY121794	700
A-BY104474	450
A-BY156505	250
A-Y23865	8200
A-Y161007	8200
A-Z32449	3400
A-BY202338	450
A-FTC44623	275
A-Y161005	5000
A-Y161004	2400
A-V5071	1150
A-BY129840	900
A-Y188597	450
A-BY202511	100
A-Y23658	4900
A-Y92096	4400
A-Y103689	3900
A-Y95361	3900
A-Y627600	3400
A-Y158289	600
A-FT8465	600
A-FT185719	350
A-BY180468	425
A-FT183346	425
A-Y23862	3500
A-BY16291	3500
A-BY207492	2600
A-Y165384	100
A-Y35906	3500
A-BY16295	3500
A-FGC71697	50
A-Y142085	3400
A-FT273443	175
A-FT446069	50
A-Y90130	125
A-Y91623	3400
A-Y126115	3000
A-FT83038	1050
A-Y64330	375
A-Y73614	250
A-Y69397	125
A-Y24713	2900
A-Y156117	2600
A-FT175758	2400
A-FT174073	125
A-FT177078	50
A-Y156153	2200
A-V2709	1450
A-Y161025	2200
A-FT17658	2100
A-FT24944	800
A-Y156087	275
A-Y24401	350
A-FT104114	150
A-Y24715	350
A-FGC88929	125
A-FTE27061	150
A-Y90375	150
A-FT106010	350
A-FT104576	250
A-FGC47805	350
A-Y99264	350
A-Y28045	100
A-SK808	50
BT	88000
B	84800
B-V2342	26500
B-V1108	1450
B-V2410	17800
B-V1019	11400
B-Y204812	6800
B-M8633	84200
B-L1388	20100
B-Y311987	2700
B-ZS382	2700
B-Z11522	15000
B-Y178979	5300
B-Z11512	11700
B-M182	58600
B-M112	51900
B-V3220	6500
B-SK522	1000
B-Y18023	48600
B-CTS591	18700
B-M192	44900
B-V3853	37500
B-Y34326	28300
B-Y25096	29300
B-P6	550
B-Y34339	26100
B-Y81262	17300
B-Y81265	7600
B-M8498	44900
B-M8495	40800
B-M7650	22200
B-M7321	19100
B-Y82361	1350
B-Y97992	225
B-M8357	35300
B-Y32422	1850
B-Y33380	1700
